,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
587,4187679,https://www.airbnb.com/rooms/4187679,20240929170954,2024-09-30,previous scrape,CAU DEL LLOP 12 Apartment with terrace and spectacular views,Fantastic apartment with terrace and spectacular sea views.,"This apartment is located in the quiet area of Cau del Llop, in the fishing village, very family-friendly LlanÃ§Ã , where you can enjoy beautiful water activities (kayaking, sailing, scuba diving, windsurfing, etc.) and mountain activities (hikes, GR92, the way to Santiago,  visit the dolmens of EmpordÃ  and the great monastery of Sant Pere de Rodes, among others).<br /><br />This small village is located between Cap de Creus and the Albere, near the fishing villages of Port de la Selva, CadaquÃ©s, Colera where you can discover its history, its gastronomy, its culture, its wonderful landscapes.<br />LlanÃ§Ã  is located near Figueres with its shops and shopping center and its magnificent DalÃ­ museum.<br /><br />Its wonderful casino of Peralada and other Costa Brava village famous for its wines and vineyards of Alt EmpordÃ .<br /><br />The apartment is next to Cau del Llop beach and a few minutes away you will find the Port with all establishments and shops, the promenade, the Port beach, La Go",https://a0.muscache.com/pictures/prohost-api/Hosting-4187679/original/f28786ff-3300-4e0a-b6ff-7eb8dba2d77e.jpeg,21668566,https://www.airbnb.com/users/show/21668566,Viviana,2014-09-23,"Catalonia, Spain","Somos una agencia inmobiliaria con mas de 50 aÃ±os de experiencia en el sector turÃ­stico y especializados en alquiler vacacional. Nuestro objetivo es claro: que cada cliente se sienta como en su propia casa! Ofrecemos una atenciÃ³n personalizada y profesional, capaz de gestionar cualquier incidencia en el menor tiempo posible. Lejos de las inmobiliarias totalmente impersonales, nuestro trato y proximidad son nuestras seÃ±as de identidad. Esperamos conocerte y poderte ayudar en tus prÃ³ximas vacaciones!",within an hour,1.0,1.0,f,https://a0.muscache.com/im/users/21668566/profile_pic/1411460212/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/21668566/profile_pic/1411460212/original.jpg?aki_policy=profile_x_medium,,64,65,"['email', 'phone']",t,t,"LlanÃ§Ã , Catalonia, Spain",LlanÃ§Ã ,,42.35804,3.16564,Entire rental unit,Entire home/apt,4,,1 bath,2.0,,"[""Washer"", ""Dishwasher"", ""TV"", ""Patio or balcony"", ""Free street parking"", ""Sea view"", ""Air conditioning"", ""Barbecue utensils"", ""Essentials"", ""Refrigerator"", ""Outdoor furniture"", ""Free residential garage on premises \u2013 1 space"", ""Mountain view"", ""BBQ grill"", ""Smoking allowed"", ""Shower gel"", ""Drying rack for clothing"", ""Backyard"", ""Dishes and silverware"", ""Microwave"", ""Shampoo"", ""Kitchen"", ""Freezer"", ""Ocean view"", ""Oven"", ""Coffee maker"", ""Body soap"", ""Toaster""]",,1,365,7,31,999,1125,25.0,1015.3,,t,0,0,0,0,2024-09-30,1,1,0,2024-08-03,2024-08-03,4.0,4.0,2.0,5.0,4.0,5.0,4.0,HUTG-052120,t,55,55,0,0,0.51
1508,12013738,https://www.airbnb.com/rooms/12013738,20240929170954,2024-09-30,previous scrape,CARBONERES 6 Planta baja en el centro urbano con terraza y aparcamiento.,Ground floor in the urban center with terrace and parking.,"This magnificent apartment with a large garden, located in the quiet area of the Carboneras, in the Mediterranean and family village of LlanÃ§Ã . Where you can enjoy many water activities (kayaking, snorkeling, sailing, fishing, windsurfing, etc.) and mountain activities (hiking, the GR 92, the Camino de Santiago, visiting the dolmens of the area and the great Monastery of Sant Pere de Rodes, among others).<br />This small town is located between the Cap de Creus and the Albera very close to the fishing villages of Port de la Selva, CadaquÃ©s, Colera, among others where you can discover its history, its gastronomy, its landscapes and its culture. <br />LlanÃ§Ã  is also located near Figueres with its shops and its beautiful DalÃ­ museum nearby. You can also visit Perelada and its magnificent casino, along with other villages of the Alt EmpordÃ  famous for its vineyards and wines of D.O EmpordÃ .<br />The apartment is within walking distance to La Gola beach, Carboneras beach and downtown Port a",https://a0.muscache.com/pictures/prohost-api/Hosting-12013738/original/db365689-2771-41d9-9106-400363c09970.jpeg,21668566,https://www.airbnb.com/users/show/21668566,Viviana,2014-09-23,"Catalonia, Spain","Somos una agencia inmobiliaria con mas de 50 aÃ±os de experiencia en el sector turÃ­stico y especializados en alquiler vacacional. Nuestro objetivo es claro: que cada cliente se sienta como en su propia casa! Ofrecemos una atenciÃ³n personalizada y profesional, capaz de gestionar cualquier incidencia en el menor tiempo posible. Lejos de las inmobiliarias totalmente impersonales, nuestro trato y proximidad son nuestras seÃ±as de identidad. Esperamos conocerte y poderte ayudar en tus prÃ³ximas vacaciones!",within an hour,1.0,1.0,f,https://a0.muscache.com/im/users/21668566/profile_pic/1411460212/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/21668566/profile_pic/1411460212/original.jpg?aki_policy=profile_x_medium,,64,65,"['email', 'phone']",t,t,"LlanÃ§Ã , Catalunya, Spain",LlanÃ§Ã ,,42.37045,3.16312,Entire rental unit,Entire home/apt,5,,1 bath,2.0,,"[""Washer"", ""Pets allowed"", ""TV"", ""Patio or balcony"", ""Free street parking"", ""Essentials"", ""Refrigerator"", ""Outdoor furniture"", ""Iron"", ""Smoking allowed"", ""Shower gel"", ""Drying rack for clothing"", ""Dishes and silverware"", ""Microwave"", ""Shampoo"", ""Kitchen"", ""Hangers"", ""Freezer"", ""Oven"", ""Coffee maker"", ""Body soap"", ""Window AC unit"", ""Free parking on premises"", ""Toaster"", ""Hot water""]",,1,365,7,31,999,1125,25.0,1015.3,,t,0,0,0,0,2024-09-30,2,0,0,2022-07-30,2022-08-20,4.0,4.0,2.0,4.0,5.0,4.5,4.5,HUTG-000614,t,55,55,0,0,0.08
2140,15125294,https://www.airbnb.com/rooms/15125294,20240929170954,2024-09-30,city scrape,Rocamaura I B 1-2,"Welcome to your holiday apartment in Estartit! This modern 2-bedroom apartment, accommodating 4/5 people, offers a cozy atmosphere in its 50 mÂ² of space. Located just steps away from the beach, it provides stunning sea views.<br><br>Situated in a family-friendly area, the accommodation is conveniently positioned 150 m from the supermarket and 300 m from the city center. For golf enthusiasts, the EmpordÃ  Golf Club is only 9 km away.",,https://a0.muscache.com/pictures/prohost-api/Hosting-15125294/original/7a19f76f-4a7d-4abc-9a6e-a82d0de5480e.jpeg,95415596,https://www.airbnb.com/users/show/95415596,Ceigrup,2016-09-16,"Torroella de MontgrÃ­, Spain","Contamos con un equipo de personas exclusivamente dedicadas a todo el proceso desde que empiezas a planificar tus vacaciones en la Costa Brava hasta que vuelves a tu casa: InformaciÃ³n, reserva, recepciÃ³n y atenciÃ³n durante tu estancia, limpieza y mantenimiento._x000D_
_x000D_
Queremos que tus vacaciones sean Ãºnicas... Estaremos encantados de ayudarte en cualquier necesidad que tengas mientras estÃ©s en nuestro destino. Somos especialistas, conocemos bien la Costa Brava Â¡y nos entusiasma!",within an hour,0.93,0.99,f,https://a0.muscache.com/im/pictures/user/926e04d9-d424-462e-a25c-269f28d0031b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/926e04d9-d424-462e-a25c-269f28d0031b.jpg?aki_policy=profile_x_medium,,436,492,"['email', 'phone']",t,t,,Torroella de MontgrÃ­,,42.05104,3.19746,Entire rental unit,Entire home/apt,5,1.0,1 bath,2.0,4.0,"[""Heating"", ""Washer"", ""TV"", ""Patio or balcony"", ""Sea view"", ""Air conditioning"", ""Essentials"", ""Refrigerator"", ""Elevator"", ""Iron"", ""Crib"", ""Wifi"", ""Smoking allowed"", ""Pool"", ""Dishes and silverware"", ""Microwave"", ""Kitchen"", ""Freezer"", ""Bed linens"", ""Oven"", ""Coffee maker"", ""Cooking basics"", ""Stove"", ""Toaster"", ""Hot water""]",83.0,1,1125,1,2,47,1125,1.3,854.3,,t,0,0,0,107,2024-09-30,2,1,0,2022-06-19,2024-08-24,3.5,2.5,2.0,5.0,5.0,5.0,2.5,HUTG-018125,t,416,415,1,0,0.07
2143,15125300,https://www.airbnb.com/rooms/15125300,20240929170954,2024-09-30,city scrape,Rocamaura Ii 2-9,"Two-bedroom apartment in the Rocamaura holiday complex, perfect for your coastal getaway. The apartment features two double bedrooms, one of them with direct sea views, a well-equipped bathroom with a shower, a comfortable living room with a sofa bed, and an independent kitchen to complete the interior. Access the spacious terrace, which offers a picturesque seaside setting with stunning views of the Medas Islands.<br><br>",,https://a0.muscache.com/pictures/prohost-api/Hosting-15125300/original/f637471e-3c9a-4a6d-9f32-89d728750601.jpeg,95415596,https://www.airbnb.com/users/show/95415596,Ceigrup,2016-09-16,"Torroella de MontgrÃ­, Spain","Contamos con un equipo de personas exclusivamente dedicadas a todo el proceso desde que empiezas a planificar tus vacaciones en la Costa Brava hasta que vuelves a tu casa: InformaciÃ³n, reserva, recepciÃ³n y atenciÃ³n durante tu estancia, limpieza y mantenimiento._x000D_
_x000D_
Queremos que tus vacaciones sean Ãºnicas... Estaremos encantados de ayudarte en cualquier necesidad que tengas mientras estÃ©s en nuestro destino. Somos especialistas, conocemos bien la Costa Brava Â¡y nos entusiasma!",within an hour,0.93,0.99,f,https://a0.muscache.com/im/pictures/user/926e04d9-d424-462e-a25c-269f28d0031b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/926e04d9-d424-462e-a25c-269f28d0031b.jpg?aki_policy=profile_x_medium,,436,492,"['email', 'phone']",t,t,,Torroella de MontgrÃ­,,42.04993,3.19789,Entire rental unit,Entire home/apt,5,1.0,1 bath,2.0,3.0,"[""Heating"", ""Washer"", ""TV"", ""Patio or balcony"", ""Free street parking"", ""Sea view"", ""Air conditioning"", ""Essentials"", ""Refrigerator"", ""Elevator"", ""Iron"", ""Crib"", ""Wifi"", ""Smoking allowed"", ""Pool"", ""Dishes and silverware"", ""Microwave"", ""Kitchen"", ""Bed linens"", ""Coffee maker"", ""Cooking basics"", ""Stove"", ""Toaster"", ""Hot water""]",95.0,1,1125,1,2,2,1125,1.4,704.8,,t,22,24,24,162,2024-09-30,2,0,0,2018-07-12,2021-09-08,4.5,3.5,2.5,4.0,4.0,5.0,3.0,HUTG-010686,t,416,415,1,0,0.03
2164,15139647,https://www.airbnb.com/rooms/15139647,20240929170954,2024-09-30,city scrape,"6Âº PISO VISTAS AL MAR, 1Âª LINEA, CENTRICO",You'll love my place because of its location and sea views. My place is good for families (with kids) and big groups.,1st sea line with great views of Sant Feliu de Guixols Beach. Balcony overlooks the promenade and apartment is centrally located,https://a0.muscache.com/pictures/f64c009d-4bd5-4691-b4e8-32d99e62aa50.jpg,95899937,https://www.airbnb.com/users/show/95899937,Maria Rosa,2016-09-19,,,within a day,1.0,0.2,f,https://a0.muscache.com/im/pictures/user/19ee74bc-75e2-442d-a9f5-7c22b4701b43.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/19ee74bc-75e2-442d-a9f5-7c22b4701b43.jpg?aki_policy=profile_x_medium,,5,6,['phone'],t,t,"Sant Feliu de GuÃ­xols, Catalunya, Spain",Sant Feliu de GuÃ­xols,,41.78085,3.03056,Entire rental unit,Entire home/apt,6,2.0,2 baths,3.0,6.0,"[""Heating"", ""Iron"", ""Washer"", ""Pets allowed"", ""Dishes and silverware"", ""Host greets you"", ""TV"", ""Free street parking"", ""Kitchen"", ""Cooking basics"", ""Hangers"", ""Hot water"", ""Elevator""]",185.0,6,1125,6,6,1125,1125,6.0,1125.0,,t,29,59,89,364,2024-09-30,3,1,1,2019-08-07,2024-09-16,4.67,4.67,2.67,5.0,5.0,5.0,4.0,HUTG-016953,f,5,5,0,0,0.05
2262,15579568,https://www.airbnb.com/rooms/15579568,20240929170954,2024-09-30,city scrape,Marina 2-B,"Step into the comfort of our inviting 3-bedroom apartment in lâ€™Estartit, a spacious retreat for 5/6 people. With a generous 75 mÂ² layout, this cozy haven is ideally situated right next to the beach, providing enchanting views of the marina.<br><br>Convenience is at your doorstep, with the sandy beach just 100 m away for relaxing sunbath, and the town center a short 100 m stroll. The supermarket is conveniently located 150 m from your accommodation.",,https://a0.muscache.com/pictures/prohost-api/Hosting-15579568/original/f7398ec9-be35-43d1-a70a-45a8c33b179e.jpeg,95415596,https://www.airbnb.com/users/show/95415596,Ceigrup,2016-09-16,"Torroella de MontgrÃ­, Spain","Contamos con un equipo de personas exclusivamente dedicadas a todo el proceso desde que empiezas a planificar tus vacaciones en la Costa Brava hasta que vuelves a tu casa: InformaciÃ³n, reserva, recepciÃ³n y atenciÃ³n durante tu estancia, limpieza y mantenimiento._x000D_
_x000D_
Queremos que tus vacaciones sean Ãºnicas... Estaremos encantados de ayudarte en cualquier necesidad que tengas mientras estÃ©s en nuestro destino. Somos especialistas, conocemos bien la Costa Brava Â¡y nos entusiasma!",within an hour,0.93,0.99,f,https://a0.muscache.com/im/pictures/user/926e04d9-d424-462e-a25c-269f28d0031b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/926e04d9-d424-462e-a25c-269f28d0031b.jpg?aki_policy=profile_x_medium,,436,492,"['email', 'phone']",t,t,,Torroella de MontgrÃ­,,42.05343,3.20136,Entire rental unit,Entire home/apt,6,1.5,1.5 baths,3.0,5.0,"[""Washer"", ""Pets allowed"", ""TV"", ""Patio or balcony"", ""Sea view"", ""Essentials"", ""Refrigerator"", ""Iron"", ""Hot water"", ""Crib"", ""Wifi"", ""Smoking allowed"", ""Dishes and silverware"", ""Microwave"", ""Kitchen"", ""Oven"", ""Freezer"", ""Bed linens"", ""Bathtub"", ""Coffee maker"", ""Cooking basics"", ""Stove"", ""Toaster"", ""Harbor view""]",102.0,1,1125,1,2,2,1125,1.5,544.0,,t,29,47,47,226,2024-09-30,3,0,0,2017-08-12,2023-08-19,3.33,3.33,2.67,4.33,3.0,4.67,3.0,HUTG-006853,t,416,415,1,0,0.03
2971,17930987,https://www.airbnb.com/rooms/17930987,20240929170954,2024-09-30,previous scrape,"Holiday rental villa with swimming pool in Begur,","Fantastic property with sea views.  <br /> Located in a quiet residential area very close to the centre of Begur and a few kilometres from the beaches of Sa Riera, Sa Tuna, Aiguablava.  <br /> Distributed in 3 levels. On the ground floor there is a large garage for two cars with access to the interior of the house.  <br /> On the first floor is the rest area, distributed in three bedrooms and a bathroom with shower. One of the bedrooms is a suite with private bathroom and access to the exterior. Another has a",,https://a0.muscache.com/pictures/prohost-api/Hosting-17930987/original/8d32bf72-65b2-434c-b439-4430b9561b1a.jpeg,117908511,https://www.airbnb.com/users/show/117908511,Marta,2017-02-24,"Begur, Spain","Hola. Somos Domus Begur!. Nuestra inmobiliaria cuenta con mÃ¡s de 30aÃ±os de experiencia en la Costa Brava y Begur. Disponemos de la mejor selecciÃ³n de casas, apartamentos y villas en venta y de alquiler de vacaciones. En nuestra web podrÃ¡ consultar nuestro amplio catÃ¡logo, reservar al instante y gestionar su alquiler de vacaciones de forma fÃ¡cil y segura.",within an hour,1.0,1.0,f,https://a0.muscache.com/im/pictures/user/5b2f900b-7027-48ce-82c5-520bdd32a4da.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5b2f900b-7027-48ce-82c5-520bdd32a4da.jpg?aki_policy=profile_x_medium,,134,371,"['email', 'phone']",t,t,,Begur,,41.95939,3.20302,Entire home,Entire home/apt,8,,2.5 baths,4.0,,"[""Heating"", ""Washer"", ""Pets allowed"", ""Indoor fireplace"", ""Dishwasher"", ""TV"", ""Patio or balcony"", ""Clothing storage"", ""Essentials"", ""Refrigerator"", ""Iron"", ""BBQ grill"", ""Wifi"", ""Pool"", ""Backyard"", ""Microwave"", ""Kitchen"", ""Hangers"", ""Oven"", ""Coffee maker"", ""Free parking on premises"", ""Cooking basics"", ""Toaster""]",,1,1125,1,1,1125,1125,1.0,1125.0,,t,0,0,0,0,2024-09-30,2,0,0,2021-07-16,2022-07-22,5.0,5.0,2.5,5.0,5.0,5.0,5.0,HUTG-003008,t,124,124,0,0,0.05
3261,18536512,https://www.airbnb.com/rooms/18536512,20240929170954,2024-09-30,city scrape,Pfeil (TDM170) by Interhome,"All discounts are already included, please go ahead and book the property if your travel dates are available. Below please see all the listing details <br />""Pfeil (TDM170)"", 4-room house 90 m2 on 2 levels. Practical and rustic furnishings: living/dining room with open-hearth fireplace, dining table and satellite TV. Exit to the patio, to the swimming pool. 2 rooms, each room with 2 beds (90 cm, length 190 cm). Open kitchen (3 hot plates, oven, dishwasher, microwave, electric coffee machine...",,https://a0.muscache.com/pictures/prohost-api/Hosting-18536512/original/3c8040eb-5773-48ce-815b-b7e36a26ca7f.jpeg,113497406,https://www.airbnb.com/users/show/113497406,Sabrina - Interhome Group,2017-01-27,"Freiburg im Breisgau, Germany","Hi, ich bin Sabrina und freue mich, dass Du Dich fÃ¼r unsere Unterkunft interessierst. Ich arbeite im Service-Team der Interhome Group und kÃ¼mmere mich sehr gerne um Deine Fragen. Interhome ist seit 1965 Spezialist in der Vermietung von FerienhÃ¤usern und Ferienwohnungen. Wir vermieten UnterkÃ¼nfte in den schÃ¶nsten Ferienzielen Europas sowohl im Sommer als auch im Winter. Unser Team besichtigt die UnterkÃ¼nfte persÃ¶nlich! QualitÃ¤t und ein sehr gutes Preis-LeistungsverhÃ¤ltnis stehen fÃ¼r uns an erster Stelle. Noch Fragen? Wir freuen uns auf Dich!

Hi, my name is Sabrina. Thank you for your interest in our property. I am a service team staff member at Interhome Group and will gladly assist you with any questions. Interhome is a tour operator, specialized in the segment of holiday home rentals since 1965. We offer holiday accommodations in Europeâ€™s most attractive holiday destinations, in the summer as well as in the winter seasons. Our teams visits the properties personally! High quality as well as fair and attractive prices are most important to us. Any questions? Contact us. We look forward to hearing from you soon!",within an hour,1.0,0.95,f,https://a0.muscache.com/im/pictures/user/bbb46f66-cc4e-4496-bd4a-4f4c937a98e8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bbb46f66-cc4e-4496-bd4a-4f4c937a98e8.jpg?aki_policy=profile_x_medium,,127,196,"['email', 'phone']",t,t,,Torroella de MontgrÃ­,,42.00818,3.19065,Entire home,Entire home/apt,6,2.0,2 baths,3.0,6.0,"[""Heating"", ""Washer"", ""Dishes and silverware"", ""Indoor fireplace"", ""Microwave"", ""TV"", ""Dishwasher"", ""Coffee maker"", ""Private entrance"", ""Kitchen"", ""Cooking basics"", ""Pool"", ""Hangers"", ""Refrigerator"", ""Hot water"", ""Hair dryer"", ""Oven""]",271.0,1,1125,1,3,3,1125,1.1,1083.8,,t,10,10,39,314,2024-09-30,1,0,0,2021-09-13,2021-09-13,4.0,3.0,2.0,5.0,4.0,5.0,4.0,HUTG-006676,t,92,92,0,0,0.03
3629,19168846,https://www.airbnb.com/rooms/19168846,20240929170954,2024-09-30,city scrape,34APK19. POLITUR K-19,"Apartment located in the urbanization Politur, about 600m from the beach. Consisting of 2 bedrooms, full bathroom, kitchen, living/dining room with terrace exit with garden view. Swimming pool and community GARDENS. WIFI.",,https://a0.muscache.com/pictures/miso/Hosting-19168846/original/afe46a31-ed0c-4689-a4e5-3b424fe9af3f.jpeg,122326504,https://www.airbnb.com/users/show/122326504,Actual,2017-03-24,"Platja d'Aro, Spain","Actual Servicios Inmobiliarios s.l. es una sociedad que nace de la uniÃ³n de diferentes sinergias, y quiere ofrecer a sus clientes un nuevo modelo de empresa en el Ã¡mbito inmobiliario. Un servicio global a la vez que personalizado, dirigido y orientado tanto al sector turÃ­stico como al autÃ³ctono, capaz de encontrar y satisfacer cualquier exigencia de sus clientes. Para ello encontraran personas capacitadas y con una dilatada experiencia en el Ã¡mbito empresarial e inmobiliario que sabrÃ¡n aconsejarles en sus decisiones_x000D_
",within an hour,1.0,0.95,f,https://a0.muscache.com/im/pictures/user/02e5a346-5b5f-47bf-82a6-3b623cb21c50.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/02e5a346-5b5f-47bf-82a6-3b623cb21c50.jpg?aki_policy=profile_x_medium,,148,279,"['email', 'phone']",t,t,,Castell-Platja d'Aro,,41.82511,3.07482,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,4.0,"[""Washer"", ""Pets allowed"", ""Host greets you"", ""TV"", ""Kitchen"", ""Wifi"", ""Smoking allowed"", ""Pool""]",91.0,7,1125,7,7,1125,1125,7.0,1125.0,,t,0,0,0,6,2024-09-30,1,0,0,2022-08-20,2022-08-20,4.0,3.0,2.0,4.0,4.0,4.0,2.0,HUTG-010295,t,137,137,0,0,0.04
3880,19782799,https://www.airbnb.com/rooms/19782799,20240929170954,2024-09-30,city scrape,Apartamento 4 pax. vistas al mar y acceso playa,Very nice apartment. Inmeliorable ubication and views of the mother. Direct private access to the beach.<br /><br />Apartment recently restored (2017) that we rent only the self from August per week from Saturday to Saturday.<br /><br />Apartment in a great location with direct beach access for private entrance and sea views.<br /><br />Recently renovated apartment that we rent for weeks only in August and for weeks.,,https://a0.muscache.com/pictures/074fd743-9d75-461d-a65a-9a9057a5ccb0.jpg,21375284,https://www.airbnb.com/users/show/21375284,Leandro,2014-09-15,"Chapel Hill, NC",,within an hour,1.0,0.67,f,https://a0.muscache.com/im/users/21375284/profile_pic/1410819021/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/21375284/profile_pic/1410819021/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'work_email']",t,t,,Castell-Platja d'Aro,,41.82059,3.07158,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,4.0,"[""Washer"", ""TV"", ""Free parking on premises"", ""Kitchen"", ""Wifi"", ""Smoking allowed"", ""Essentials"", ""Elevator"", ""Dryer""]",193.0,7,30,7,7,30,30,7.0,30.0,,t,30,60,90,365,2024-09-30,10,2,0,2017-08-06,2024-08-17,3.6,4.2,2.9,4.4,4.6,4.9,3.4,,t,1,1,0,0,0.11
